TestId,TestStatus,serial.port,comport_binding,interface,ser.baudrate,ser.bytesize,ser.parity,ser.stopbits,ser.xonxoff,ser.rtscts,ser.dsrdtr,host,tcp.port,packet.length,iterations,FileSend
71,TRUE,COM4,data2,rs232,600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
72,TRUE,COM4,data2,rs232,1200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
73,TRUE,COM4,data2,rs232,1800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
74,TRUE,COM4,data2,rs232,2400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
75,TRUE,COM4,data2,rs232,4800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
76,TRUE,COM4,data2,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
77,TRUE,COM4,data2,rs232,19200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
78,TRUE,COM4,data2,rs232,38400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
79,TRUE,COM4,data2,rs232,57600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
80,TRUE,COM4,data2,rs232,115200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
81,TRUE,COM4,data2,rs232,75,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
82,TRUE,COM4,data2,rs232,110,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
83,TRUE,COM4,data2,rs232,134,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
84,TRUE,COM4,data2,rs232,150,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
85,TRUE,COM4,data2,rs232,200,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
86,TRUE,COM4,data2,rs232,300,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
87,TRUE,COM4,data2,rs232,600,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
88,TRUE,COM4,data2,rs232,1200,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
89,TRUE,COM4,data2,rs232,1800,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
90,TRUE,COM4,data2,rs232,2400,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
91,TRUE,COM4,data2,rs232,4800,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
92,TRUE,COM4,data2,rs232,9600,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
93,TRUE,COM4,data2,rs232,19200,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
94,TRUE,COM4,data2,rs232,38400,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
95,TRUE,COM4,data2,rs232,57600,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
96,TRUE,COM4,data2,rs232,115200,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
97,TRUE,COM4,data2,rs232,75,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
98,TRUE,COM4,data2,rs232,110,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
99,TRUE,COM4,data2,rs232,134,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
100,TRUE,COM4,data2,rs232,150,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
101,TRUE,COM4,data2,rs232,200,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
102,TRUE,COM4,data2,rs232,300,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
103,TRUE,COM4,data2,rs232,600,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
104,TRUE,COM4,data2,rs232,1200,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
105,TRUE,COM4,data2,rs232,1800,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
106,TRUE,COM4,data2,rs232,2400,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
107,TRUE,COM4,data2,rs232,4800,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
108,TRUE,COM4,data2,rs232,9600,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
109,TRUE,COM4,data2,rs232,19200,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
110,TRUE,COM4,data2,rs232,38400,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
111,TRUE,COM4,data2,rs232,57600,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
112,TRUE,COM4,data2,rs232,115200,8,even,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
113,TRUE,COM4,data2,rs232,75,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
114,TRUE,COM4,data2,rs232,110,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
115,TRUE,COM4,data2,rs232,134,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
116,TRUE,COM4,data2,rs232,150,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
117,TRUE,COM4,data2,rs232,200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
118,TRUE,COM4,data2,rs232,300,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
119,TRUE,COM4,data2,rs232,600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
120,TRUE,COM4,data2,rs232,1200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
121,TRUE,COM4,data2,rs232,1800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
122,TRUE,COM4,data2,rs232,2400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
123,TRUE,COM4,data2,rs232,4800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
124,TRUE,COM4,data2,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
125,TRUE,COM4,data2,rs232,19200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
126,TRUE,COM4,data2,rs232,38400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
127,TRUE,COM4,data2,rs232,57600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
128,TRUE,COM4,data2,rs232,115200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
129,FALSE,COM8,data1,rs485-2w,75,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
130,FALSE,COM8,data1,rs485-2w,110,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
131,FALSE,COM8,data1,rs485-2w,134,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
132,FALSE,COM8,data1,rs485-2w,150,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
133,FALSE,COM8,data1,rs485-2w,200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
134,FALSE,COM8,data1,rs485-2w,300,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
135,FALSE,COM8,data1,rs485-2w,600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
136,FALSE,COM8,data1,rs485-2w,1200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
137,FALSE,COM8,data1,rs485-2w,1800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
138,FALSE,COM8,data1,rs485-2w,2400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
139,FALSE,COM8,data1,rs485-2w,4800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
